AT,SR,RH,WV,AP
-0.407309496,-0.996269418,0.888482455,0,-1.445169942
-0.406412997,-0.669312565,0.878461027,0,-1.830803137
-0.73214106,0.06781372,0.794108005,0,-1.874711867
-0.734232892,0.567917779,0.866492991,0,-1.536805553
-0.715107574,0.635037121,0.810978609,0,-1.347807106
-0.269547443,1.175271186,0.524466719,0,-0.915401569
0.381311018,1.0969212,-0.140552322,0,-0.377042356
0.929072064,1.907301474,-0.670390238,0,-0.186134834
1.306199418,0.349525119,-1.07499636,0,-0.298770272
1.762816373,0.746690033,-1.409092006,0,-0.656721876
1.807641336,-0.413213415,-1.481549089,0,-1.161672272
0.235181639,-1.033077301,-0.217191009,0,-0.980310126
0.175116188,-0.977943279,-0.175735463,0,-1.360216095
0.019424151,-0.749362514,0.01654617,0,-1.575941595
0.112660073,0.159619473,-0.300678872,0,-1.633213852
-0.034365805,0.718020185,0.099817743,0,-1.29053485
0.084569763,1.045299915,-0.216397946,0,-0.848583936
0.428526645,0.100373642,-0.323461398,0,-0.417132936
0.380713351,0.330545447,-0.079702792,0,0.315951949
1.325623569,1.174111944,-1.436056134,0,0.432405538
1.580827024,0.653452732,-1.62235375,0,0.380860507
1.564391204,0.872304421,-1.733238321,0,-0.032454279
1.751161883,-0.565731557,-1.991416247,0,-0.459132591
-0.509510411,-1.033077301,0.044375458,0,-0.399951259
-0.243250132,-0.960130628,-0.01993471,0,-0.962173911
-0.346347547,-0.742068625,0.24112708,0,-1.216080916
-0.343658049,1.003399925,0.233340647,0,-1.205581002
-0.855559125,1.317675136,0.511345138,0,-0.939265009
-1.235973643,0.634348578,0.44768384,0,-0.463905279
-0.459605286,2.742119195,-0.232835971,0,0.095453761
0.822687485,2.628571817,-1.210249582,0,0.644312887
1.44097314,2.637017168,-1.736771054,0,0.616631296
1.865913788,-0.129953766,-2.187230613,0,0.336951777
2.451626636,-0.577028333,-2.526877698,0,-0.095453761
2.888520608,-0.812288355,-2.974669683,0,-0.804675206
-0.092638257,-1.033077301,0.094698885,0,-0.663403639
-0.017631152,-1.024760322,0.005154907,0,-1.320125515
-0.017929985,-0.774651887,0.13954297,0,-1.647531916
-0.096224254,-0.404503539,0.312430618,0,-1.618895788
-0.143439881,-0.103318428,0.437301929,0,-1.429897341
-0.11236124,0.859509967,0.650491577,0,-0.912537956
0.082179099,0.842078544,0.560803406,0,-0.322633712
0.408803661,1.205644886,0.151222619,0,0.179453071
0.606631164,1.151572854,-0.251076411,0,0.549813664
1.201010172,-0.777413839,-1.005062657,0,0.496359558
1.748173552,-0.602667813,-1.706850965,0,0.041999655
2.166241039,-0.411649605,-2.164159701,0,-0.640494737
-0.086960428,-1.033077301,0.4188452,0,-0.616631296
-0.267156779,-1.019193626,0.451865443,0,-1.106309091
-0.21306799,-0.809506952,0.363114528,0,-1.268580484
-0.17332319,-0.389129965,0.36772871,0,-1.370716009
-0.193046173,-0.247352318,0.536506852,0,-1.077672962
-0.277615937,0.479795927,0.685891008,0,-0.578449792
-0.161369866,3.289440976,0.663108482,0,0.139362491
0.152404874,3.848028412,0.24812045,0,0.824720496
0.501143085,-0.305730663,-0.173500469,0,1.035673307
0.847789465,-0.099000445,-0.751210527,0,0.85908385
1.812422666,-0.317840464,-1.595389621,0,0.213816425
2.237363314,-0.212995182,-1.81362603,0,-0.606131383
-0.451536793,-1.033077301,0.364195977,0,-0.418087473
-0.471259776,-1.012739993,0.443718527,0,-0.858129312
-0.628147146,-0.616749882,0.56390356,0,-1.022309781
-0.528635729,-0.046122666,0.53059493,0,-0.961219374
-0.5238544,0.129969327,0.484453106,0,-0.734039423
-0.420159319,0.715359375,0.31682851,0,-0.497314095
-0.025998478,0.99426603,-0.072925711,0,0.038181504
0.538497221,1.057293014,-0.458137847,0,0.414269323
0.787126348,1.204007165,-0.634197745,0,0.71494867
1.381804189,1.430203314,-1.321566733,0,0.449587215
1.757138545,1.732423185,-1.661141721,0,-0.062044945
2.14113906,-0.239665531,-1.987667224,0,-0.671994478
-0.507119747,-1.033077301,0.353453583,0,-1.104400015
-0.333796557,-1.010919438,0.362537755,0,-1.602668648
-0.203206498,-0.746145422,0.276670704,0,-1.802167009
-0.266857946,-0.363280422,0.340259905,0,-1.76971273
-0.47843177,0.67060407,0.432471457,0,-1.503396737
-0.631135477,0.978157233,0.407237647,0,-1.236126206
-0.129095893,1.371576005,-0.067878949,0,-0.761721013
0.483511933,1.129539473,-0.419133586,0,-0.182316684
1.1678397,1.053527422,-1.409812972,0,0.121226277
1.552437881,1.820899034,-1.494165994,0,-0.065863095
1.937036063,0.786302659,-1.837706295,0,-0.604222308
2.054477465,-0.072474029,-1.737131537,0,-1.092945564
